cluster,rank,term,ctfidf_score,discriminativeness,n_gram
10,18,filters,0.008731526641955065,7.346404610657037,1
10,19,nightmare,0.008731526641955065,14.946620535120138,1
10,20,digital,0.008688050243054777,0.5589656116353665,1
11,1,art,0.026870923858886616,0.4208462296133401,1
11,2,ai,0.026309441867805403,0.39063622112178836,1
11,3,human,0.010210798908605642,0.5590080547334441,1
11,4,artist,0.008502441579229796,1.1431781267061387,1
11,5,intelligence,0.008384477152594877,0.7965396902790881,1
11,6,artists,0.007940959588148581,0.3678688507548458,1
11,7,machine,0.007539901023090573,0.7106035700539817,1
11,8,deep,0.007222272398769845,0.44374818507324887,1
11,9,chung,0.007018447645652961,7.484015595395844,1
11,10,artificial,0.006877529459104435,0.630922527159724,1
11,11,deep dream,0.006862121101890587,0.4460724879351935,2
11,12,artificial intelligence,0.0063617147496716035,0.6505742117470414,2
11,13,neural,0.005982128826396872,0.3487355425088765,1
11,14,creative,0.005894038394398379,0.4819768930636113,1
11,15,images,0.005894038394398379,0.4839498221565214,1
11,16,dream,0.0058387868022638486,0.4549235551219271,1
11,17,networks,0.005468126555855376,0.77704618865975,1
11,18,ai art,0.005267104932639991,0.25923427969526686,2
11,19,using,0.00525645920103799,0.9962294893156995,1
11,20,created,0.005244116212567132,0.5452222165536357,1
12,1,ai,0.06735023637385461,1.6319408266755915,1
12,2,effective,0.019497756219144527,19.400909581220954,1
12,3,altruism,0.018910153178286034,85.44649969451599,1
12,4,media,0.01804828415915447,1.7804724663902114,1
12,5,humanity,0.011001330411832504,4.322681791096614,1
12,6,discourse,0.01074388196634623,5.065137000043766,1
12,7,human,0.010580028645021583,0.5792221827905212,1
12,8,coverage,0.010314201034866822,0.9806057000524584,1
12,9,movements,0.009727324728611082,10.390002986898919,1
12,10,stories,0.009308818040781349,0.9209340343139001,1
12,11,ai discourse,0.008824738149866816,34.91395587128677,2
12,12,blind spot,0.008271186398193024,29.926248901901513,2
12,13,headlines,0.007564061271314414,22.49077577885378,1
12,14,dystopian,0.007219940724406775,22.765048127199538,1
12,15,panic,0.006567424381249283,30.011047326453706,1
12,16,news,0.006472760256074087,0.7534914813034926,1
12,17,public,0.006445042457067348,1.0822920752298129,1
12,18,media coverage,0.006303384392762011,13.467838171205809,2
12,19,blind,0.006188520620920093,9.975418301912192,1
12,20,extreme,0.006188520620920093,8.080703574106716,1
13,1,ai,0.041270023465163834,0.6127673134627356,1
13,2,art,0.024762014079098296,0.38781696965638873,1
13,3,artists,0.01039558428906289,0.48158054488151647,1
13,4,image,0.010233199417836167,0.7237800446183005,1
13,5,human,0.00946593819794748,0.518229351652585,1
13,6,images,0.008403906107446056,0.6900309421098978,1
13,7,going,0.008033539729890075,0.4796595716041756,1
13,8,know,0.0062016575801705645,0.14613822947916102,1
13,9,ai art,0.005653859238204181,0.27826939957690616,2
13,10,creative,0.004479004903419051,0.3662644731697488,1
13,11,artist,0.00446162415839609,0.5247462231108478,1
13,12,use,0.004294303670288369,0.7238753677371021,1
13,13,really,0.004238542950476286,0.202855931460477,1
