hidden_layer_sizes,alpha,lr,n_params,r2_train,r2_val,cv_r2_mean,cv_r2_std,knn_preservation_k15,cluster_agreement,cluster_ari,min_cluster_r2,mean_cluster_r2,max_mae_dim,n_iter,composite,min_cluster_r2_clipped,composite_fixed
"(256, 64)",1e-06,0.0001,279173,0.94726,0.46856,0.44465,0.10444,0.17701,0.33716,0.15539,-240266544.0,-14144582.44824,3.5099,118,,0.0,0.46705944811446337
"(256, 64)",1e-05,0.0001,279173,0.94727,0.46861,0.44456,0.10444,0.17599,0.33716,0.15539,-239262304.0,-14085522.3231,3.51084,118,,0.0,0.4664010704020707
"(256,)",0.01,0.0005,263685,0.94275,0.49857,0.35493,0.14259,0.1857,0.37165,0.15952,-244743344.0,-14403726.57038,3.59062,222,,0.0,0.4657528425825703
"(128,)",0.001,0.002,131845,0.95066,0.48865,0.44401,0.1677,0.18263,0.37548,0.15205,-163626592.0,-9630358.53426,3.85632,45,,0.0,0.4609117862839566
"(128,)",1e-05,0.002,131845,0.95082,0.48897,0.4432,0.16704,0.1811,0.36398,0.14738,-164485744.0,-9680991.89268,3.85135,45,,0.0,0.45711369825119197
"(128,)",1e-06,0.002,131845,0.95082,0.48896,0.44343,0.16735,0.1811,0.36398,0.14738,-164481472.0,-9680741.01739,3.85134,45,,0.0,0.4570053996077875
"(128,)",0.0001,0.002,131845,0.95082,0.48898,0.45619,0.18554,0.1811,0.36398,0.14738,-164485040.0,-9680950.3136,3.85122,45,,0.0,0.45076885510069487
"(256,)",0.001,0.001,263685,0.94194,0.47186,0.38326,0.13635,0.17957,0.3295,0.13449,-251509664.0,-14802451.9994,3.91036,30,,0.0,0.44739297765894925
"(256,)",1e-06,0.001,263685,0.94193,0.47183,0.38034,0.13749,0.17957,0.3295,0.13449,-251503360.0,-14802081.09791,3.91057,30,,0.0,0.44657378357953237
"(256,)",1e-05,0.001,263685,0.94193,0.47183,0.38034,0.13749,0.17957,0.3295,0.13449,-251502464.0,-14802028.411,3.91056,30,,0.0,0.44657378357953237
