hidden_layer_sizes,alpha,lr,n_params,r2_train,r2_val,cv_r2_mean,cv_r2_std,knn_preservation_k15,cluster_agreement,cluster_ari,min_cluster_r2,mean_cluster_r2,max_mae_dim,n_iter,composite,min_cluster_r2_clipped,composite_fixed
"(256, 128, 64)",0.001,0.002,303877,0.97523,0.82482,0.78962,0.03813,0.34687,0.57854,0.34152,-67433168.0,-3969398.78415,1.90658,23,,0.0,0.8273822032419293
"(1024, 256, 1024)",0.001,0.0005,1580293,0.97075,0.81046,0.80048,0.03398,0.34483,0.59004,0.35732,-118922584.0,-6998641.30446,1.85838,20,,0.0,0.8273659971605186
"(1024, 256)",0.01,0.001,1313285,0.98021,0.78731,0.78248,0.02525,0.34891,0.60153,0.36961,-171742032.0,-10106120.18537,1.95221,33,,0.0,0.8271166106945802
"(512, 32)",1e-06,0.002,541381,0.98168,0.84744,0.80418,0.05193,0.34355,0.57088,0.36361,-68078104.0,-4007441.25826,1.84521,167,,0.0,0.8264557176247762
"(512, 128)",1e-05,0.002,591109,0.97866,0.81801,0.7932,0.04467,0.33665,0.61686,0.36073,-93854864.0,-5524333.94565,2.11099,94,,0.0,0.8264199991758484
"(512, 32)",1e-05,0.002,541381,0.97984,0.83057,0.80579,0.05248,0.34023,0.59387,0.35781,-73097056.0,-4304040.50057,1.96962,125,,0.0,0.8248430356352323
"(1024, 64)",0.01,0.001,1115525,0.97992,0.81706,0.7748,0.0377,0.35198,0.57088,0.35981,-86806712.0,-5109293.09827,1.90467,110,,0.0,0.8245994660265457
"(1024, 64)",0.01,0.001,1115525,0.97992,0.81706,0.7748,0.0377,0.35198,0.57088,0.35981,-86806712.0,-5109293.09827,1.90467,110,,0.0,0.8245994660265457
"(1024, 256, 64)",0.001,0.0005,1328773,0.97674,0.80317,0.77809,0.02995,0.34176,0.5977,0.38106,-113575936.0,-6683523.82927,1.7966,118,,0.0,0.8241981426474216
"(1024, 32)",1e-06,0.001,1082565,0.96552,0.79073,0.77829,0.04347,0.35326,0.60536,0.38654,-101393904.0,-5966738.434,2.10035,65,,0.0,0.8239537513208126
"(256, 128, 64)",0.01,0.002,303877,0.97713,0.82865,0.80643,0.04872,0.34891,0.55939,0.33013,-58157304.0,-3423704.09445,1.91678,23,,0.0,0.8222462671078052
"(1024, 256)",0.001,0.001,1313285,0.97692,0.78214,0.78063,0.02535,0.34508,0.5977,0.35201,-146765984.0,-8637104.56914,1.95639,20,,0.0,0.8216285416800392
"(1024, 256)",0.0001,0.001,1313285,0.97686,0.78247,0.77653,0.02781,0.34815,0.59387,0.34768,-147567456.0,-8684195.28238,1.95732,20,,0.0,0.8212092103947191
"(1024, 128)",0.01,0.001,1181445,0.96784,0.79773,0.78707,0.03558,0.34202,0.59387,0.33939,-89282936.0,-5255930.71833,2.03588,63,,0.0,0.820169559896903
"(1024, 512, 128)",0.01,0.0005,1640709,0.97806,0.7947,0.78009,0.02319,0.34713,0.56705,0.32093,-98817296.0,-5818061.00706,2.11105,24,,0.0,0.8197256331485402
"(1024, 256)",1e-06,0.001,1313285,0.97687,0.78223,0.77718,0.028,0.34687,0.59004,0.34894,-148313856.0,-8728116.9522,1.95419,20,,0.0,0.8192578164023436
"(1024, 256)",1e-05,0.001,1313285,0.97687,0.78223,0.77701,0.02806,0.34687,0.59004,0.34894,-148327968.0,-8728947.49397,1.95411,20,,0.0,0.8192133900510947
"(1024, 64)",0.001,0.001,1115525,0.98025,0.81012,0.77265,0.02844,0.3484,0.55172,0.35356,-71390288.0,-4202571.5386,2.00733,104,,0.0,0.8184803266660844
"(1024, 64)",0.001,0.001,1115525,0.98025,0.81012,0.77265,0.02844,0.3484,0.55172,0.35356,-71390288.0,-4202571.5386,2.00733,104,,0.0,0.8184803266660844
"(1024, 512, 128)",1e-05,0.0005,1640709,0.97829,0.79546,0.77513,0.03029,0.34687,0.57471,0.32934,-103903376.0,-6117132.22746,2.11855,24,,0.0,0.8183148776080377
"(1024, 512, 128)",1e-06,0.0005,1640709,0.97825,0.79551,0.77518,0.0303,0.34636,0.57088,0.32353,-103081120.0,-6068751.6717,2.12241,24,,0.0,0.8169698785746746
"(1024, 32)",0.01,0.001,1082565,0.96368,0.77546,0.77445,0.04463,0.36194,0.57854,0.34549,-70020952.0,-4122544.57723,2.23029,53,,0.0,0.8164196722013431
"(1024, 64)",1e-06,0.001,1115525,0.97997,0.81111,0.76162,0.02988,0.34713,0.55172,0.35193,-92245872.0,-5429422.55816,2.01803,131,,0.0,0.8161330044876511
"(1024, 64)",1e-06,0.001,1115525,0.97997,0.81111,0.76162,0.02988,0.34713,0.55172,0.35193,-92245872.0,-5429422.55816,2.01803,131,,0.0,0.8161330044876511
"(512, 256)",0.01,0.002,657413,0.97694,0.80828,0.80075,0.02717,0.33436,0.56322,0.32031,-115301352.0,-6786608.07629,2.08616,23,,0.0,0.8155083893457549
"(1024, 512, 128)",0.0001,0.0005,1640709,0.9783,0.79527,0.77572,0.03038,0.34559,0.56322,0.32302,-101004424.0,-5946599.63236,2.12399,24,,0.0,0.8143544156345722
"(512, 256)",1e-05,0.002,657413,0.97689,0.8065,0.7866,0.03855,0.33206,0.59004,0.34624,-109524048.0,-6447017.06472,2.08286,23,,0.0,0.8142436502170642
"(512, 256)",1e-06,0.002,657413,0.97689,0.8065,0.78635,0.03896,0.33206,0.59004,0.34624,-109511232.0,-6446265.37274,2.083,23,,0.0,0.8140425172691295
"(1024, 32)",0.001,0.001,1082565,0.96843,0.7968,0.79588,0.04921,0.34483,0.58238,0.34622,-91668224.0,-5395364.06125,2.18576,70,,0.0,0.8138391297998218
"(512, 256)",0.001,0.002,657413,0.97692,0.80553,0.79631,0.03841,0.33461,0.57854,0.33601,-112565568.0,-6625894.9778,2.09876,23,,0.0,0.8136405624222718
"(1024, 512, 128)",0.001,0.0005,1640709,0.97826,0.79708,0.77628,0.03188,0.34432,0.55939,0.31345,-97890704.0,-5763464.26097,2.10839,24,,0.0,0.8125250366317811
"(1024, 32)",0.0001,0.001,1082565,0.97123,0.79428,0.78114,0.04929,0.34125,0.59387,0.34998,-89965024.0,-5294971.14958,2.14764,109,,0.0,0.8120731871976223
"(1024, 64)",0.0001,0.001,1115525,0.98015,0.8091,0.76384,0.0333,0.34457,0.54789,0.33766,-85429232.0,-5028474.2643,2.0008,84,,0.0,0.8115747265475196
"(1024, 64)",0.0001,0.001,1115525,0.98015,0.8091,0.76384,0.0333,0.34457,0.54789,0.33766,-85429232.0,-5028474.2643,2.0008,84,,0.0,0.8115747265475196
"(512, 256)",0.0001,0.002,657413,0.97682,0.8064,0.78877,0.0372,0.33359,0.57088,0.33574,-111799104.0,-6580728.97684,2.08511,23,,0.0,0.8108659987882822
"(512, 64)",0.0001,0.002,557957,0.97427,0.77331,0.76628,0.0346,0.32771,0.62835,0.41237,-78915960.0,-4644909.54969,2.02951,82,,0.0,0.8101151916246903
"(1024, 32)",1e-05,0.001,1082565,0.97164,0.79296,0.78894,0.04276,0.34764,0.55556,0.31239,-97702728.0,-5749820.91744,2.14655,77,,0.0,0.8091255590472947
"(1024, 256, 64)",1e-06,0.0005,1328773,0.97565,0.78115,0.77782,0.03023,0.33027,0.59387,0.36134,-119981416.0,-7060803.79267,1.89334,39,,0.0,0.8082421569877386
"(512, 128)",0.0001,0.002,591109,0.97742,0.79494,0.79428,0.03518,0.31392,0.6092,0.36372,-106609424.0,-6274523.81767,2.13559,26,,0.0,0.8060350884330195
"(1024, 256, 64)",1e-05,0.0005,1328773,0.9758,0.78115,0.77769,0.03,0.32797,0.58621,0.35692,-120811800.0,-7109609.50688,1.88875,59,,0.0,0.8047644529449501
"(512, 128)",0.001,0.002,591109,0.97691,0.80096,0.78468,0.04085,0.31239,0.61303,0.36618,-85022960.0,-5004691.51312,2.14195,58,,0.0,0.8045890667572042
"(1024, 64)",1e-05,0.001,1115525,0.97704,0.79981,0.76012,0.03796,0.33589,0.55939,0.35321,-82432760.0,-4852737.9082,1.98881,115,,0.0,0.8035521043975984
"(1024, 64)",1e-05,0.001,1115525,0.97704,0.79981,0.76012,0.03796,0.33589,0.55939,0.35321,-82432760.0,-4852737.9082,1.98881,115,,0.0,0.8035521043975984
"(1024, 512, 256)",1e-05,0.0005,1707013,0.98044,0.77885,0.77148,0.03868,0.33129,0.59004,0.36794,-121321256.0,-7140262.44,2.0764,25,,0.0,0.8028364424000154
"(512, 64)",0.01,0.002,557957,0.97144,0.77912,0.77465,0.0543,0.33231,0.60536,0.36989,-113592424.0,-6684677.11265,2.1284,78,,0.0,0.8014766131589893
"(1024, 256, 64)",0.0001,0.0005,1328773,0.97566,0.78139,0.77763,0.02995,0.32593,0.57854,0.34578,-129247384.0,-7605774.74962,1.88934,59,,0.0,0.801464851181481
"(1024, 512, 256)",0.0001,0.0005,1707013,0.98046,0.77949,0.77169,0.03889,0.32874,0.58621,0.36185,-121863024.0,-7172151.29851,2.07883,25,,0.0,0.800290661830588
"(512, 256, 128)",1e-05,0.001,689669,0.98618,0.80678,0.7764,0.04528,0.32771,0.55939,0.32151,-100800144.0,-5932836.78147,1.94881,30,,0.0,0.7992674945536411
"(512, 128, 512)",0.01,0.0005,659077,0.96991,0.77431,0.76879,0.04112,0.33308,0.58238,0.34336,-49113896.0,-2894572.46982,1.94742,23,,0.0,0.7991073487715371
"(512, 256, 128)",1e-06,0.001,689669,0.98618,0.80678,0.77697,0.04495,0.32695,0.55939,0.32178,-100581184.0,-5919958.81192,1.94847,30,,0.0,0.7989754725240014
"(1024, 512, 256)",0.01,0.0005,1707013,0.98043,0.77833,0.78837,0.05276,0.33001,0.59387,0.37516,-126261552.0,-7430755.07154,2.06843,25,,0.0,0.7988161561587634
"(512, 64)",1e-06,0.002,557957,0.97393,0.777,0.76921,0.04768,0.32848,0.5977,0.38003,-82606176.0,-4862061.38501,2.07413,82,,0.0,0.7984002108748597
"(512, 256, 128)",0.0001,0.001,689669,0.98636,0.80722,0.77791,0.04568,0.33052,0.54789,0.31026,-104192136.0,-6132349.24652,1.93554,30,,0.0,0.7981511719029182
"(512, 256, 128)",0.001,0.001,689669,0.98626,0.80715,0.77609,0.0459,0.33001,0.54789,0.31305,-100250192.0,-5900439.73167,1.93201,30,,0.0,0.7974982273033788
"(1024, 512, 256)",0.001,0.0005,1707013,0.98043,0.77889,0.77202,0.03835,0.32746,0.57854,0.35252,-123110032.0,-7245444.10811,2.07691,25,,0.0,0.7974590229613607
"(512, 128, 512)",1e-06,0.0005,659077,0.96997,0.77328,0.76885,0.04188,0.33384,0.57471,0.33791,-47787092.0,-2816705.15987,1.94873,20,,0.0,0.7968840142798307
"(1024, 512, 256)",1e-06,0.0005,1707013,0.98035,0.77878,0.77109,0.03898,0.32874,0.57471,0.34993,-122309992.0,-7198304.0303,2.08595,25,,0.0,0.7968559539034705
"(512, 256, 128)",0.01,0.001,689669,0.98649,0.80806,0.78918,0.05741,0.32644,0.56322,0.31552,-100781416.0,-5931754.71295,1.93864,30,,0.0,0.7962106147254391
"(512, 128, 512)",1e-05,0.0005,659077,0.96998,0.77346,0.76891,0.04182,0.33384,0.57088,0.33458,-48221324.0,-2842227.12349,1.94617,23,,0.0,0.795945115098111
"(512, 128, 512)",0.001,0.0005,659077,0.96448,0.77106,0.76805,0.04143,0.33257,0.57088,0.34028,-41825228.0,-2466108.41858,1.95455,20,,0.0,0.7943909818027475
"(512, 64)",1e-05,0.002,557957,0.97303,0.7708,0.76292,0.05758,0.33333,0.59387,0.3686,-91957424.0,-5412173.94478,2.11768,64,,0.0,0.7935936599322522
"(512, 128, 512)",0.0001,0.0005,659077,0.96998,0.77228,0.76861,0.04153,0.33282,0.56322,0.31968,-47788888.0,-2816776.89433,1.94844,23,,0.0,0.7929173577980848
"(1024, 32)",1e-06,0.0005,1082565,0.96727,0.76444,0.7573,0.03495,0.32286,0.58238,0.34459,-137206400.0,-8074773.80589,2.17135,84,,0.0,0.7904923524014974
"(1024, 32)",0.001,0.0005,1082565,0.96667,0.7561,0.74462,0.03372,0.31648,0.58621,0.33906,-147920272.0,-8705103.00873,2.24815,56,,0.0,0.7836984672471745
"(512, 256, 128, 64)",0.01,0.0005,697605,0.97739,0.79039,0.77515,0.04495,0.33052,0.51341,0.28696,-101403600.0,-5968464.746,2.15048,28,,0.0,0.7833013045683143
"(512,)",0.01,0.002,527365,0.97557,0.78939,0.66087,0.05889,0.33001,0.58238,0.35693,-85444408.0,-5030280.07966,1.82236,336,,0.0,0.7824703260193024
"(512, 256, 128, 64)",1e-05,0.0005,697605,0.97295,0.78848,0.77273,0.04655,0.32465,0.52874,0.30377,-100853392.0,-5936174.24463,2.16106,22,,0.0,0.7820208437321119
"(512, 256, 128, 64)",0.001,0.0005,697605,0.97786,0.78994,0.77286,0.04708,0.3249,0.52107,0.29463,-100950600.0,-5941738.86222,2.14222,31,,0.0,0.7803941612765413
"(512, 256, 128, 64)",0.0001,0.0005,697605,0.97635,0.78956,0.77291,0.04709,0.32593,0.51724,0.29414,-99904336.0,-5880297.93516,2.14558,22,,0.0,0.7799105809683371
"(512, 256, 128, 64)",1e-06,0.0005,697605,0.97298,0.78748,0.77279,0.04673,0.32286,0.52107,0.29601,-99148144.0,-5835854.7268,2.16306,22,,0.0,0.7783901943155549
"(1024, 32)",0.01,0.0005,1082565,0.9672,0.75674,0.75562,0.0469,0.31341,0.58621,0.34614,-154504160.0,-9092499.60603,2.21864,45,,0.0,0.7775828517897292
"(1024, 32)",1e-05,0.0005,1082565,0.96449,0.75535,0.75747,0.03363,0.31137,0.57088,0.33533,-154465824.0,-9090136.20236,2.27043,56,,0.0,0.7774767909126236
"(1024, 32)",0.0001,0.0005,1082565,0.96688,0.75631,0.74562,0.05264,0.31724,0.57088,0.33603,-149614640.0,-8804750.55725,2.25521,56,,0.0,0.7722657029798472
"(1024, 128)",0.01,0.0005,1181445,0.96223,0.76735,0.69801,0.05463,0.31469,0.52107,0.27938,-126705216.0,-7457880.94938,2.15558,130,,0.0,0.7546652371843469
"(256, 128, 64)",1e-05,0.001,303877,0.95316,0.7472,0.73754,0.04538,0.29272,0.56322,0.31285,-62841556.0,-3699494.32124,2.17345,19,,0.0,0.7533639785020843
"(256, 128, 64)",0.0001,0.001,303877,0.95325,0.74823,0.73773,0.04554,0.2917,0.55939,0.31024,-61823712.0,-3639551.53805,2.17989,19,,0.0,0.7519633511714867
"(256, 128, 64)",1e-06,0.001,303877,0.95316,0.74686,0.737,0.04621,0.29298,0.55556,0.30736,-62877684.0,-3701664.68588,2.17336,19,,0.0,0.7509488496703502
"(256, 128, 64)",0.001,0.001,303877,0.95336,0.74865,0.7379,0.04534,0.28914,0.55939,0.30867,-67003848.0,-3944425.85973,2.19031,19,,0.0,0.7505373230395302
"(256, 128, 64)",0.01,0.001,303877,0.95293,0.74866,0.7451,0.04664,0.28863,0.55172,0.30815,-72234264.0,-4251891.82399,2.20322,19,,0.0,0.7484048833816128
"(512, 32)",0.01,0.001,541381,0.97855,0.78608,0.74097,0.06762,0.29349,0.52107,0.28096,-138725536.0,-8165733.22206,2.30883,130,,0.0,0.7463918363306963
"(512, 256, 64)",1e-05,0.0005,672901,0.97846,0.74732,0.72545,0.04134,0.3014,0.50958,0.27143,-71890456.0,-4232614.80761,2.27589,21,,0.0,0.7449746650238285
"(512, 256, 64)",0.001,0.0005,672901,0.9785,0.74765,0.72616,0.04107,0.29834,0.51341,0.27696,-69983840.0,-4120433.59655,2.27295,26,,0.0,0.7443137252742621
"(512, 256, 64)",1e-06,0.0005,672901,0.97847,0.74741,0.72548,0.04134,0.29962,0.50958,0.27143,-72019184.0,-4240193.45742,2.27409,26,,0.0,0.743847660363919
"(512, 256, 64)",0.0001,0.0005,672901,0.9785,0.74683,0.7253,0.04111,0.29808,0.50958,0.27227,-71649016.0,-4218381.87223,2.28094,26,,0.0,0.7427288032872303
"(1024, 64)",0.01,0.0005,1115525,0.97296,0.74563,0.69994,0.05136,0.30524,0.51341,0.28079,-135699312.0,-7986276.14755,2.27577,31,,0.0,0.7408531203738697
"(1024, 64)",0.01,0.0005,1115525,0.97296,0.74563,0.69994,0.05136,0.30524,0.51341,0.28079,-135699312.0,-7986276.14755,2.27577,31,,0.0,0.7408531203738697
"(1024, 64)",1e-06,0.0005,1115525,0.97312,0.74483,0.69776,0.05135,0.30217,0.52107,0.2815,-137150768.0,-8071643.20245,2.28331,31,,0.0,0.7404077118684722
"(1024, 64)",1e-06,0.0005,1115525,0.97312,0.74483,0.69776,0.05135,0.30217,0.52107,0.2815,-137150768.0,-8071643.20245,2.28331,31,,0.0,0.7404077118684722
"(1024, 64)",1e-05,0.0005,1115525,0.97311,0.74484,0.69776,0.05135,0.30192,0.52107,0.2815,-137163856.0,-8072412.07821,2.28306,31,,0.0,0.7402480772976642
"(1024, 64)",1e-05,0.0005,1115525,0.97311,0.74484,0.69776,0.05135,0.30192,0.52107,0.2815,-137163856.0,-8072412.07821,2.28306,31,,0.0,0.7402480772976642
"(1024, 64)",0.001,0.0005,1115525,0.97229,0.74526,0.69946,0.05152,0.3037,0.51341,0.27863,-137228080.0,-8076200.61932,2.27575,31,,0.0,0.739605456836141
"(1024, 64)",0.001,0.0005,1115525,0.97229,0.74526,0.69946,0.05152,0.3037,0.51341,0.27863,-137228080.0,-8076200.61932,2.27575,31,,0.0,0.739605456836141
"(512, 256, 64)",0.01,0.0005,672901,0.97184,0.74327,0.74254,0.05246,0.29323,0.52107,0.28109,-74663984.0,-4395905.43056,2.31988,21,,0.0,0.7386281165338818
"(1024, 64)",0.0001,0.0005,1115525,0.97315,0.7445,0.69777,0.05137,0.3014,0.51341,0.27955,-135206416.0,-7957283.61456,2.2785,31,,0.0,0.737728226356308
"(1024, 64)",0.0001,0.0005,1115525,0.97315,0.7445,0.69777,0.05137,0.3014,0.51341,0.27955,-135206416.0,-7957283.61456,2.2785,31,,0.0,0.737728226356308
"(512, 32)",0.001,0.001,541381,0.97551,0.77663,0.73397,0.06256,0.28429,0.51724,0.26986,-142235856.0,-8371982.70569,2.40576,117,,0.0,0.7375862053157916
"(512, 32)",1e-06,0.001,541381,0.97622,0.77569,0.73077,0.07849,0.29298,0.51341,0.26443,-142647168.0,-8396544.86094,2.37549,107,,0.0,0.7348256793883303
"(512, 32)",1e-05,0.001,541381,0.97683,0.77884,0.72125,0.06785,0.29093,0.49808,0.25756,-141547408.0,-8331289.27567,2.39533,136,,0.0,0.7338280437648579
"(512, 32)",0.0001,0.001,541381,0.97641,0.77344,0.72937,0.07675,0.28966,0.51341,0.25694,-129701056.0,-7634522.86812,2.40328,108,,0.0,0.7324941315753877
"(512, 256, 128)",0.0001,0.0005,689669,0.97993,0.74564,0.70864,0.06348,0.28812,0.51724,0.28585,-141070752.0,-8302857.74122,2.08101,23,,0.0,0.7265909741576838
"(1024, 512, 256, 128)",0.01,0.0001,1739269,0.97469,0.71475,0.69709,0.04255,0.2871,0.52874,0.28619,-175207712.0,-10310102.66449,2.25013,35,,0.0,0.7263322799789693
"(512, 256, 128)",0.001,0.0005,689669,0.98009,0.74584,0.70819,0.06376,0.28889,0.51341,0.28207,-141126240.0,-8306121.90897,2.06377,23,,0.0,0.7259597561539397
"(1024, 512, 256, 128)",1e-05,0.0001,1739269,0.97467,0.71524,0.69687,0.0423,0.2871,0.5249,0.28712,-177436208.0,-10441251.27647,2.25142,35,,0.0,0.7255420160510379
"(1024, 256, 1024)",0.01,0.0001,1580293,0.96409,0.72714,0.7161,0.0508,0.29323,0.49808,0.27079,-132688168.0,-7808888.59577,2.1376,40,,0.0,0.7248330497215174
"(1024, 512, 256, 128)",0.0001,0.0001,1739269,0.97468,0.71484,0.69683,0.04258,0.28633,0.5249,0.28712,-176133040.0,-10364581.44883,2.25248,35,,0.0,0.7247850903495606
"(512, 256, 128)",0.01,0.0005,689669,0.97997,0.7466,0.71802,0.06276,0.28582,0.50958,0.28254,-139255584.0,-8196023.2023,2.07124,23,,0.0,0.7247064784348934
"(1024, 512, 256, 64)",0.001,0.0001,1722501,0.9667,0.73247,0.69754,0.04636,0.28557,0.50958,0.27914,-184916352.0,-10882120.66865,2.22561,42,,0.0,0.7244870696559487
"(1024, 512, 256, 64)",0.01,0.0001,1722501,0.96682,0.73414,0.69843,0.0462,0.28429,0.50958,0.2796,-184345424.0,-10848482.53479,2.21377,42,,0.0,0.724373058774724
"(1024, 512, 256, 128)",1e-06,0.0001,1739269,0.97467,0.71516,0.69691,0.04231,0.28685,0.52107,0.28527,-177648416.0,-10453734.89281,2.25231,29,,0.0,0.7243223289382514
"(1024, 512, 256, 128)",0.001,0.0001,1739269,0.97474,0.71439,0.69708,0.04262,0.28736,0.52107,0.28375,-176652352.0,-10395165.43138,2.2505,35,,0.0,0.7242881552281819
"(512, 256, 128)",1e-05,0.0005,689669,0.97994,0.74588,0.70855,0.0635,0.28761,0.50958,0.28083,-139673488.0,-8220678.5761,2.07523,23,,0.0,0.7242583676343806
"(1024, 512, 256, 64)",1e-06,0.0001,1722501,0.96668,0.73274,0.69771,0.04648,0.28633,0.50575,0.27489,-182691360.0,-10751197.50341,2.22242,42,,0.0,0.7240097011247624
"(512, 256, 128)",1e-06,0.0005,689669,0.97998,0.74569,0.70854,0.0635,0.28889,0.50575,0.27926,-140074256.0,-8244224.32752,2.07795,23,,0.0,0.7239980944477581
"(1024, 512, 256, 64)",1e-05,0.0001,1722501,0.9667,0.73283,0.69766,0.04652,0.28608,0.50575,0.27443,-182609744.0,-10746386.16766,2.22553,42,,0.0,0.7238540437627035
"(1024, 256, 1024)",1e-05,0.0001,1580293,0.96404,0.72699,0.71568,0.05082,0.29298,0.49425,0.26783,-133053552.0,-7830397.22471,2.13927,40,,0.0,0.7235342822810595
"(1024, 256, 1024)",1e-06,0.0001,1580293,0.96406,0.72696,0.71567,0.05079,0.29246,0.49425,0.26783,-132928272.0,-7823026.59928,2.13884,40,,0.0,0.7231969666748962
"(1024, 256, 1024)",0.0001,0.0001,1580293,0.96405,0.72709,0.71577,0.05078,0.29221,0.49425,0.26783,-132607872.0,-7804184.96415,2.13899,40,,0.0,0.723092506613416
"(1024, 256, 1024)",0.001,0.0001,1580293,0.96407,0.72674,0.71575,0.05079,0.29221,0.49425,0.26783,-132658672.0,-7807181.7354,2.14062,40,,0.0,0.7229701983279537
"(256, 64)",0.01,0.002,279173,0.9713,0.72436,0.76026,0.04654,0.27739,0.50575,0.28749,-172472416.0,-10152651.94223,2.54523,24,,0.0,0.7224129002262824
"(1024, 512, 256, 64)",0.0001,0.0001,1722501,0.96733,0.73268,0.69763,0.04641,0.28506,0.49808,0.27243,-182220064.0,-10723514.1651,2.21876,42,,0.0,0.7211188695568638
"(256, 64)",1e-05,0.002,279173,0.97283,0.72594,0.72767,0.04929,0.27458,0.51341,0.28428,-180433328.0,-10620774.27662,2.51649,28,,0.0,0.7183425399382741
"(256, 64)",1e-06,0.002,279173,0.97283,0.72593,0.72902,0.0502,0.27458,0.51341,0.28428,-180450592.0,-10621789.95507,2.51653,28,,0.0,0.7181068708815282
"(1024, 512)",0.01,0.0005,1576965,0.97466,0.72719,0.70971,0.0515,0.28352,0.49808,0.30396,-133272528.0,-7843394.56222,2.24094,21,,0.0,0.7175073422113
"(256, 128)",0.01,0.002,295941,0.96534,0.74391,0.78487,0.03253,0.25441,0.48659,0.26622,-92239936.0,-5430319.32422,2.44922,19,,0.0,0.7174285825588593
"(1024, 512)",0.001,0.0005,1576965,0.97466,0.72706,0.70904,0.05166,0.28327,0.49808,0.30305,-132120576.0,-7775607.51799,2.23488,21,,0.0,0.7171585536563891
"(256, 64)",0.0001,0.002,279173,0.9728,0.72649,0.73229,0.05289,0.27535,0.50958,0.28066,-181552288.0,-10686632.17297,2.51525,28,,0.0,0.7169956969955905
"(1024, 512)",0.0001,0.0005,1576965,0.97467,0.7269,0.70908,0.05164,0.28148,0.50192,0.30758,-132581584.0,-7802756.32307,2.22963,21,,0.0,0.716985083005068
"(512, 256)",0.01,0.001,657413,0.97151,0.72243,0.7274,0.04083,0.27637,0.49425,0.26856,-123075904.0,-7246912.60532,2.44181,27,,0.0,0.7167323031964504
"(512, 128)",0.01,0.001,591109,0.96956,0.72568,0.75201,0.05005,0.26973,0.50958,0.25302,-117722320.0,-6928510.39847,2.47273,35,,0.0,0.7164792415160475
"(1024, 512)",1e-05,0.0005,1576965,0.97468,0.72691,0.7091,0.0517,0.28225,0.49808,0.30305,-132625872.0,-7805365.07739,2.22958,21,,0.0,0.7164339555694956
"(1024, 512)",1e-06,0.0005,1576965,0.97467,0.72689,0.70913,0.05165,0.28174,0.49808,0.30305,-132533840.0,-7799952.49953,2.22978,21,,0.0,0.7161194033521852
"(1024, 256)",0.001,0.0005,1313285,0.9738,0.70509,0.69655,0.05038,0.27944,0.53257,0.27371,-133186136.0,-7840109.86875,2.26032,24,,0.0,0.7158076971771388
"(1024, 256)",0.0001,0.0005,1313285,0.97374,0.70518,0.69675,0.0505,0.28072,0.52874,0.26968,-131750488.0,-7755648.23055,2.26354,24,,0.0,0.7156130489508288
"(256, 64)",0.001,0.002,279173,0.97129,0.72487,0.7307,0.05148,0.27561,0.50192,0.27249,-181080864.0,-10659116.55607,2.52354,24,,0.0,0.7149843184022475
"(1024, 256)",1e-05,0.0005,1313285,0.97374,0.70519,0.69654,0.05031,0.28097,0.5249,0.26775,-131726992.0,-7754262.4662,2.26346,24,,0.0,0.714802663435007
"(1024, 256)",1e-06,0.0005,1313285,0.97374,0.70519,0.69654,0.05031,0.28097,0.5249,0.26775,-131726848.0,-7754254.00746,2.26346,24,,0.0,0.714802663435007
"(1024, 256)",0.01,0.0005,1313285,0.97371,0.70496,0.70724,0.04845,0.27969,0.51724,0.26497,-130719440.0,-7694987.04665,2.26245,24,,0.0,0.7138185906870411
"(512,)",1e-06,0.002,527365,0.9727,0.74757,0.59119,0.10849,0.30243,0.55172,0.32118,-98217456.0,-5782262.59092,2.15171,234,,0.0,0.7136395975467592
"(512, 128, 512)",0.01,0.0001,659077,0.96442,0.70858,0.70358,0.05365,0.28352,0.50958,0.26297,-66106260.0,-3895287.33106,2.26249,55,,0.0,0.7128460031652032
"(512, 128, 512)",0.001,0.0001,659077,0.96364,0.70803,0.70326,0.05353,0.28301,0.50958,0.26514,-65434252.0,-3855822.98244,2.26625,55,,0.0,0.7123462482180462
"(512, 128, 512)",1e-06,0.0001,659077,0.96366,0.70846,0.70326,0.05354,0.28404,0.50575,0.26206,-65188608.0,-3841350.78505,2.26652,53,,0.0,0.7121251368793622
"(1024, 128)",0.0001,0.0005,1181445,0.96046,0.72741,0.69737,0.05506,0.27791,0.50192,0.25086,-139692336.0,-8223076.28383,2.39427,32,,0.0,0.7120677380292709
"(512, 128, 512)",0.0001,0.0001,659077,0.96366,0.70842,0.70325,0.05359,0.28378,0.50575,0.26235,-65335424.0,-3850007.3408,2.26594,53,,0.0,0.7119202097937334
"(1024, 128)",1e-06,0.0005,1181445,0.96045,0.72738,0.69751,0.05508,0.27765,0.49808,0.24829,-140028064.0,-8242825.32535,2.39548,32,,0.0,0.7108624079271029
"(512, 128, 512)",1e-05,0.0001,659077,0.96396,0.70869,0.70323,0.05362,0.28352,0.50192,0.25891,-65538688.0,-3861939.08387,2.26762,53,,0.0,0.7107946618861907
"(1024, 128)",1e-05,0.0005,1181445,0.96045,0.72738,0.69724,0.05522,0.27765,0.49808,0.24829,-140029616.0,-8242916.52768,2.39548,32,,0.0,0.7107729804098479
"(512, 128)",0.001,0.001,591109,0.96959,0.72505,0.70168,0.05769,0.26871,0.52107,0.25688,-114716304.0,-6751698.45358,2.48903,35,,0.0,0.7098173344286611
