n_neighbors,min_dist,n_components,n_seeds,trustworthiness_consensus,trustworthiness_mean_seeds,best_k,best_silhouette,best_ari_seed_consensus,best_min_cluster_size
36,0.05,4,30,0.9196930058616392,0.9370735269224499,30,0.6410461664199829,0.6689658129047943,10
36,0.05,5,30,0.9221473070500186,0.9416474451180503,20,0.6574320197105408,0.6883662772624187,10
36,0.05,8,30,0.9206369592944572,0.9425489955986687,20,0.6616454720497131,0.7016968195254574,10
36,0.05,6,30,0.919992176763295,0.9424166914714179,20,0.6648567318916321,0.7148814370071237,10
42,0.01,4,30,0.9176832978348959,0.9363632724639213,25,0.6600266098976135,0.6493565710025664,10
42,0.01,5,30,0.9214073944948369,0.9410441735327776,20,0.6589614152908325,0.6221064828005214,10
42,0.01,6,30,0.920242502527413,0.9414819809159629,30,0.6620379090309143,0.6673442006286354,10
42,0.01,8,30,0.9194095081490565,0.9415552508485748,20,0.6599336862564087,0.7000360067789917,10
42,0.03,4,30,0.915221605313033,0.9363376209746453,25,0.6367047429084778,0.6835811511479448,10
42,0.03,5,30,0.9210691519357613,0.9415582571027857,20,0.6461269855499268,0.6280034194009892,10
42,0.03,8,30,0.9213016004685928,0.9422001424686949,20,0.6582876443862915,0.6996858026461819,10
42,0.03,6,30,0.9195700247587408,0.9421220340326381,25,0.6489385962486267,0.6577514874871869,10
42,0.05,4,30,0.9185669183950032,0.9364365379439226,25,0.6340512037277222,0.6579421784790636,10
42,0.05,5,30,0.922852266612523,0.9421009546322772,20,0.6489071846008301,0.6853461656030115,10
42,0.05,8,30,0.9223337155899475,0.9428711048655828,20,0.6474799513816833,0.672444966132631,10
42,0.05,6,30,0.9209919659321864,0.9428666040184364,20,0.6383634805679321,0.6848875870686921,10
45,0.01,4,30,0.9169996217507352,0.9360464892613053,25,0.6367431282997131,0.6422954205622545,10
45,0.01,5,30,0.9184924484838527,0.9404588474521531,20,0.6585086584091187,0.697961316912136,11
45,0.01,6,30,0.9200080280567895,0.9407412468541378,20,0.6585224270820618,0.6779229086247189,10
45,0.01,8,30,0.9220148196236342,0.9411096907283514,20,0.6760151386260986,0.6195836531976935,10
45,0.03,4,30,0.9186001793956784,0.936365210833706,25,0.6535168290138245,0.6648085065075607,10
45,0.03,5,30,0.9224146640494222,0.9410247853823173,20,0.6409595608711243,0.7116436891921254,10
45,0.03,8,30,0.9219654401728326,0.9418108440509523,20,0.6722891330718994,0.7072067900606489,10
45,0.03,6,30,0.9213821927192248,0.9414976169999482,20,0.6594215631484985,0.6422052738063401,10
45,0.05,4,30,0.9179246293257389,0.9363138952394248,20,0.6325931549072266,0.6729476577679842,10
45,0.05,5,30,0.9204768434197207,0.9417022456221747,20,0.6404732465744019,0.6860552447531733,10
45,0.05,6,30,0.9203724742288468,0.9420369268349265,20,0.6238775253295898,0.678640853291295,10
45,0.05,8,30,0.9228902251173096,0.9426039742072145,20,0.6480569839477539,0.704830516575145,10
53,0.01,4,30,0.9144259460739886,0.9356417477060338,25,0.6630820035934448,0.6513388852406639,10
